Turn,Player Name,Profession,Strategy,Salary,Passive Income,Taxes,Other Expenses,Total Expenses,Child Cost,Savings,Loans,Sold Assets,No. Children,Cashflow,Stock Assets,Real Estate Assets,Business Assets,No. Dice,Die Roll,Board Space No. Before,Board Space No. After,Passed Paycheck,Board Space After
1,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3210,250,400,5,0,0,1690,0,0,0,1,2,0,2,False,Opportunity
2,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3210,250,400,5,0,0,1690,0,0,0,1,5,2,7,True,The Market
3,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3210,250,2090,5,0,0,1690,0,0,0,1,5,7,12,False,Opportunity
4,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3210,250,0,5,0,0,1690,1,0,0,1,4,12,16,True,Opportunity
5,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3210,250,1690,5,0,0,1690,1,0,0,1,4,16,20,False,Opportunity
6,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3210,250,1690,5,0,0,1690,1,0,0,1,5,20,2,True,Opportunity
7,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3210,250,0,5,0,0,1690,2,0,0,1,3,2,5,True,Pay Check
8,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3210,250,1690,5,0,0,1690,2,0,0,1,2,5,7,False,The Market
9,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3210,250,1690,5,0,0,1690,2,0,0,1,3,7,10,False,Opportunity
10,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3210,250,0,5,0,0,1690,3,0,0,1,3,10,13,True,Pay Check
11,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3210,250,1690,5,0,0,1690,3,0,0,1,3,13,16,False,Opportunity
12,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3210,250,1690,5,0,0,1690,3,0,0,1,5,16,21,True,Pay Check
13,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3210,250,3380,5,0,0,1690,3,0,0,1,4,21,2,False,Opportunity
14,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3210,250,3380,5,0,0,1690,3,0,0,1,6,2,8,True,Opportunity
15,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3210,250,5070,5,0,0,1690,3,0,0,1,1,8,9,False,Doodads
16,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3210,250,4970,5,0,0,1690,3,0,0,1,6,9,15,True,The Market
17,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3210,250,6660,5,0,0,1690,3,0,0,1,5,15,20,False,Opportunity
18,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3210,250,6660,5,0,0,1690,3,0,0,1,2,20,22,True,Opportunity
19,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3210,250,8350,5,0,0,1690,3,0,0,1,6,22,5,True,Pay Check
20,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3210,250,10040,5,0,0,1690,3,0,0,1,1,5,6,False,Opportunity
21,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3210,250,3040,5,0,0,1990,3,1,0,1,3,6,9,False,Doodads
22,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3210,250,2940,5,0,0,1990,3,1,0,1,1,9,10,False,Opportunity
23,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3210,250,2940,5,0,0,1990,3,1,0,1,2,10,12,False,Opportunity
24,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3210,250,2940,5,0,0,1990,3,1,0,1,2,12,14,True,Opportunity
25,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3210,250,0,5,0,0,1990,4,1,0,1,2,14,16,False,Opportunity
26,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3210,250,0,5,0,0,1990,4,1,0,1,1,16,17,False,Doodads
27,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3310,250,900,6,0,0,1890,4,1,0,1,4,17,21,True,Pay Check
28,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3310,250,2790,6,0,0,1890,4,1,0,1,6,21,4,False,Opportunity
29,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3310,250,2790,6,0,0,1890,4,1,0,1,2,4,6,True,Opportunity
30,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3310,250,4680,6,0,0,1890,4,1,0,1,5,6,11,False,Baby
31,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3560,250,4680,6,0,1,1640,4,1,0,1,6,11,17,True,Doodads
32,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3560,250,6270,6,0,1,1640,4,1,0,1,1,17,18,False,Opportunity
33,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3560,250,6270,6,0,1,1640,4,1,0,1,2,18,20,False,Opportunity
34,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3560,250,6270,6,0,1,1640,4,1,0,1,2,20,22,True,Opportunity
35,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3560,250,7910,6,0,1,1640,4,1,0,1,6,22,5,True,Pay Check
36,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3560,250,9550,6,0,1,1640,4,1,0,1,4,5,9,False,Doodads
37,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3560,250,9200,6,0,1,1640,4,1,0,1,1,9,10,False,Opportunity
38,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3560,250,9200,6,0,1,1640,4,1,0,1,3,10,13,True,Pay Check
39,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3560,250,10840,6,0,1,1640,4,1,0,1,1,13,14,False,Opportunity
40,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3560,250,10840,6,0,1,1640,4,1,0,1,5,14,19,False,Downsized
41,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3560,250,7280,6,0,1,1640,4,1,0,1,Use Layoff
42,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3560,250,7280,6,0,1,1640,4,1,0,1,Use Layoff
43,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3560,250,7280,6,0,1,1640,4,1,0,1,2,19,21,True,Pay Check
44,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3560,250,8920,6,0,1,1640,4,1,0,1,5,21,3,False,Charity
45,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3560,250,8430,6,0,1,1640,4,1,0,2,11,3,14,True,Opportunity
46,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3560,250,10070,6,0,1,1640,4,1,0,2,6,14,20,False,Opportunity
47,Paulcool,Engineer,Standard Auto,4900,300,1050,1090,3560,250,10070,6,0,1,1640,4,1,0,2,10,20,7,True,The Market
48,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3560,250,33710,6,1,1,1340,4,0,0,1,3,7,10,False,Opportunity
49,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3560,250,33710,6,1,1,1340,4,0,0,1,5,10,15,True,The Market
50,Paulcool,Engineer,Standard Auto,4900,0,1050,1090,3560,250,35050,6,1,1,1340,4,0,0,1,1,15,16,False,Opportunity
